major,techel,coursecode,sublist
CSCI,n,CSCI042,0
CSCI,n,CSCI060,0
CSCI,n,MATH055,1
CSCI,n,CSCI070,2
CSCI,n,CSCI081,3
CSCI,n,CSCI105,4
CSCI,n,CSCI123,5
CSCI,n,CSCI140,6
CSCI,n,CSCI183,7
CSCI,n,CSCI184,8
CSCI,n,CSCI195,9
CSCI,n,CSCI195,10
CSCI,n,CSCI195,11
CSCI,n,CSCI195,12
CSCI,y,BIOL188,13
CSCI,y,ENGR085,13
CSCI,y,ENGR151,13
CSCI,y,ENGR155,13
CSCI,y,ENGR205,13
CSCI,y,MATH104,13
CSCI,y,MATH106,13
CSCI,y,MATH157,13
CSCI,y,MATH164,13
CSCI,y,MATH165,13
CSCI,y,MATH167,13
CSCI,y,MATH187,13
CSCI,y,MCBI118,13
CSCI,y,PHYS084,13
CSCI,y,PHYS170,13
CSCI,y,PSYC183,13
CSCI,y,CSCI111,13
CSCI,y,CSCI121,13
CSCI,y,CSCI124,13
CSCI,y,CSCI125,13
CSCI,y,CSCI131,13
CSCI,y,CSCI132,13
CSCI,y,CSCI133,13
CSCI,y,CSCI134,13
CSCI,y,CSCI137,13
CSCI,y,CSCI142,13
CSCI,y,CSCI144,13
CSCI,y,CSCI145,13
CSCI,y,CSCI151,13
CSCI,y,CSCI152,13
CSCI,y,CSCI153,13
CSCI,y,CSCI155,13
CSCI,y,CSCI158,13
CSCI,y,CSCI159,13